,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
276,H54,1,2010,All Dwelling Statuses,All Buyer Types,214375.0
277,H54,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,214375.0
278,H54,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
279,H54,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
836,H54,1,2010,New,All Buyer Types,283750.0
837,H54,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,283750.0
838,H54,1,2010,New,Household Buyer - Former Owner-Occupier,
839,H54,1,2010,New,Household Buyer - Non-Occupier,
1396,H54,1,2010,Existing,All Buyer Types,145000.0
1397,H54,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,145000.0
1398,H54,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1399,H54,1,2010,Existing,Household Buyer - Non-Occupier,
1956,H54,2,2010,All Dwelling Statuses,All Buyer Types,170099.0
1957,H54,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,142500.0
1958,H54,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,225298.0
1959,H54,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2516,H54,2,2010,New,All Buyer Types,180149.0
2517,H54,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,135000.0
2518,H54,2,2010,New,Household Buyer - Former Owner-Occupier,225298.0
2519,H54,2,2010,New,Household Buyer - Non-Occupier,
3076,H54,2,2010,Existing,All Buyer Types,150000.0
3077,H54,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,150000.0
3078,H54,2,2010,Existing,Household Buyer - Former Owner-Occupier,
3079,H54,2,2010,Existing,Household Buyer - Non-Occupier,
3636,H54,3,2010,All Dwelling Statuses,All Buyer Types,140892.0
3637,H54,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,136075.0
3638,H54,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,150525.0
3639,H54,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4196,H54,3,2010,New,All Buyer Types,198450.0
4197,H54,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,167150.0
4198,H54,3,2010,New,Household Buyer - Former Owner-Occupier,261050.0
4199,H54,3,2010,New,Household Buyer - Non-Occupier,
4756,H54,3,2010,Existing,All Buyer Types,83333.0
4757,H54,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,105000.0
4758,H54,3,2010,Existing,Household Buyer - Former Owner-Occupier,40000.0
4759,H54,3,2010,Existing,Household Buyer - Non-Occupier,
5316,H54,4,2010,All Dwelling Statuses,All Buyer Types,127500.0
5317,H54,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,155000.0
5318,H54,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,100000.0
5319,H54,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5876,H54,4,2010,New,All Buyer Types,
5877,H54,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
5878,H54,4,2010,New,Household Buyer - Former Owner-Occupier,
5879,H54,4,2010,New,Household Buyer - Non-Occupier,
6436,H54,4,2010,Existing,All Buyer Types,127500.0
6437,H54,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,155000.0
6438,H54,4,2010,Existing,Household Buyer - Former Owner-Occupier,100000.0
6439,H54,4,2010,Existing,Household Buyer - Non-Occupier,
6996,H54,5,2010,All Dwelling Statuses,All Buyer Types,138925.0
6997,H54,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,205000.0
6998,H54,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,172500.0
6999,H54,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,94517.0
7556,H54,5,2010,New,All Buyer Types,147550.0
7557,H54,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7558,H54,5,2010,New,Household Buyer - Former Owner-Occupier,
7559,H54,5,2010,New,Household Buyer - Non-Occupier,147550.0
8116,H54,5,2010,Existing,All Buyer Types,137200.0
8117,H54,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,205000.0
8118,H54,5,2010,Existing,Household Buyer - Former Owner-Occupier,172500.0
8119,H54,5,2010,Existing,Household Buyer - Non-Occupier,68000.0
8676,H54,6,2010,All Dwelling Statuses,All Buyer Types,166823.0
8677,H54,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,203921.0
8678,H54,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,150000.0
8679,H54,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,135333.0
9236,H54,6,2010,New,All Buyer Types,203921.0
9237,H54,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,203921.0
9238,H54,6,2010,New,Household Buyer - Former Owner-Occupier,
9239,H54,6,2010,New,Household Buyer - Non-Occupier,
9796,H54,6,2010,Existing,All Buyer Types,139000.0
9797,H54,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
9798,H54,6,2010,Existing,Household Buyer - Former Owner-Occupier,150000.0
9799,H54,6,2010,Existing,Household Buyer - Non-Occupier,135333.0
10356,H54,7,2010,All Dwelling Statuses,All Buyer Types,187209.0
10357,H54,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,187157.0
10358,H54,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,171555.0
10359,H54,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,210794.0
10916,H54,7,2010,New,All Buyer Types,208397.0
10917,H54,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,176209.0
10918,H54,7,2010,New,Household Buyer - Former Owner-Occupier,300165.0
10919,H54,7,2010,New,Household Buyer - Non-Occupier,210794.0
11476,H54,7,2010,Existing,All Buyer Types,144833.0
11477,H54,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,220000.0
11478,H54,7,2010,Existing,Household Buyer - Former Owner-Occupier,107250.0
11479,H54,7,2010,Existing,Household Buyer - Non-Occupier,
12036,H54,8,2010,All Dwelling Statuses,All Buyer Types,169819.0
12037,H54,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,169819.0
12038,H54,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
12039,H54,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
12596,H54,8,2010,New,All Buyer Types,
12597,H54,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
12598,H54,8,2010,New,Household Buyer - Former Owner-Occupier,
12599,H54,8,2010,New,Household Buyer - Non-Occupier,
13156,H54,8,2010,Existing,All Buyer Types,169819.0
13157,H54,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,169819.0
13158,H54,8,2010,Existing,Household Buyer - Former Owner-Occupier,
13159,H54,8,2010,Existing,Household Buyer - Non-Occupier,
13716,H54,9,2010,All Dwelling Statuses,All Buyer Types,150100.0
13717,H54,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,158000.0
13718,H54,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,146250.0
13719,H54,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,150000.0
14276,H54,9,2010,New,All Buyer Types,180250.0
14277,H54,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,158000.0
14278,H54,9,2010,New,Household Buyer - Former Owner-Occupier,202500.0
14279,H54,9,2010,New,Household Buyer - Non-Occupier,
14836,H54,9,2010,Existing,All Buyer Types,130000.0
14837,H54,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
14838,H54,9,2010,Existing,Household Buyer - Former Owner-Occupier,90000.0
14839,H54,9,2010,Existing,Household Buyer - Non-Occupier,150000.0
15396,H54,10,2010,All Dwelling Statuses,All Buyer Types,110000.0
15397,H54,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,75000.0
15398,H54,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,140000.0
15399,H54,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,115000.0
15956,H54,10,2010,New,All Buyer Types,
15957,H54,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
15958,H54,10,2010,New,Household Buyer - Former Owner-Occupier,
15959,H54,10,2010,New,Household Buyer - Non-Occupier,
16516,H54,10,2010,Existing,All Buyer Types,110000.0
16517,H54,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,75000.0
16518,H54,10,2010,Existing,Household Buyer - Former Owner-Occupier,140000.0
16519,H54,10,2010,Existing,Household Buyer - Non-Occupier,115000.0
17076,H54,11,2010,All Dwelling Statuses,All Buyer Types,164267.0
17077,H54,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,167150.0
17078,H54,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,158500.0
17079,H54,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
17636,H54,11,2010,New,All Buyer Types,181600.0
17637,H54,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,181600.0
17638,H54,11,2010,New,Household Buyer - Former Owner-Occupier,
17639,H54,11,2010,New,Household Buyer - Non-Occupier,
18196,H54,11,2010,Existing,All Buyer Types,160800.0
18197,H54,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,162333.0
18198,H54,11,2010,Existing,Household Buyer - Former Owner-Occupier,158500.0
18199,H54,11,2010,Existing,Household Buyer - Non-Occupier,
18756,H54,12,2010,All Dwelling Statuses,All Buyer Types,158352.0
18757,H54,12,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,145693.0
18758,H54,12,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
18759,H54,12,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,190000.0
19316,H54,12,2010,New,All Buyer Types,143464.0
19317,H54,12,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,143464.0
19318,H54,12,2010,New,Household Buyer - Former Owner-Occupier,
19319,H54,12,2010,New,Household Buyer - Non-Occupier,
19876,H54,12,2010,Existing,All Buyer Types,160833.0
19877,H54,12,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,146250.0
19878,H54,12,2010,Existing,Household Buyer - Former Owner-Occupier,
19879,H54,12,2010,Existing,Household Buyer - Non-Occupier,190000.0
20436,H54,1,2011,All Dwelling Statuses,All Buyer Types,176262.0
20437,H54,1,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,232108.0
20438,H54,1,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,92494.0
20439,H54,1,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
20996,H54,1,2011,New,All Buyer Types,200328.0
20997,H54,1,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,232108.0
20998,H54,1,2011,New,Household Buyer - Former Owner-Occupier,104988.0
20999,H54,1,2011,New,Household Buyer - Non-Occupier,
21556,H54,1,2011,Existing,All Buyer Types,80000.0
21557,H54,1,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
21558,H54,1,2011,Existing,Household Buyer - Former Owner-Occupier,80000.0
21559,H54,1,2011,Existing,Household Buyer - Non-Occupier,
22116,H54,2,2011,All Dwelling Statuses,All Buyer Types,157288.0
22117,H54,2,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,157288.0
22118,H54,2,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
22119,H54,2,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
22676,H54,2,2011,New,All Buyer Types,164575.0
22677,H54,2,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,164575.0
22678,H54,2,2011,New,Household Buyer - Former Owner-Occupier,
22679,H54,2,2011,New,Household Buyer - Non-Occupier,
23236,H54,2,2011,Existing,All Buyer Types,150000.0
23237,H54,2,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,150000.0
23238,H54,2,2011,Existing,Household Buyer - Former Owner-Occupier,
23239,H54,2,2011,Existing,Household Buyer - Non-Occupier,
23796,H54,3,2011,All Dwelling Statuses,All Buyer Types,
23797,H54,3,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
23798,H54,3,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
23799,H54,3,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,
24356,H54,3,2011,New,All Buyer Types,
24357,H54,3,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
24358,H54,3,2011,New,Household Buyer - Former Owner-Occupier,
24359,H54,3,2011,New,Household Buyer - Non-Occupier,
24916,H54,3,2011,Existing,All Buyer Types,
24917,H54,3,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
24918,H54,3,2011,Existing,Household Buyer - Former Owner-Occupier,
