,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
424,R35,1,2010,All Dwelling Statuses,All Buyer Types,194583.0
425,R35,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,189500.0
426,R35,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,220000.0
427,R35,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
984,R35,1,2010,New,All Buyer Types,
985,R35,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
986,R35,1,2010,New,Household Buyer - Former Owner-Occupier,
987,R35,1,2010,New,Household Buyer - Non-Occupier,
1544,R35,1,2010,Existing,All Buyer Types,194583.0
1545,R35,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,189500.0
1546,R35,1,2010,Existing,Household Buyer - Former Owner-Occupier,220000.0
1547,R35,1,2010,Existing,Household Buyer - Non-Occupier,
2104,R35,2,2010,All Dwelling Statuses,All Buyer Types,111250.0
2105,R35,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,170000.0
2106,R35,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,52500.0
2107,R35,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2664,R35,2,2010,New,All Buyer Types,
2665,R35,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2666,R35,2,2010,New,Household Buyer - Former Owner-Occupier,
2667,R35,2,2010,New,Household Buyer - Non-Occupier,
3224,R35,2,2010,Existing,All Buyer Types,111250.0
3225,R35,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,170000.0
3226,R35,2,2010,Existing,Household Buyer - Former Owner-Occupier,52500.0
3227,R35,2,2010,Existing,Household Buyer - Non-Occupier,
3784,R35,3,2010,All Dwelling Statuses,All Buyer Types,152306.0
3785,R35,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,156130.0
3786,R35,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,94050.0
3787,R35,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,249700.0
4344,R35,3,2010,New,All Buyer Types,177817.0
4345,R35,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,215650.0
4346,R35,3,2010,New,Household Buyer - Former Owner-Occupier,68100.0
4347,R35,3,2010,New,Household Buyer - Non-Occupier,249700.0
4904,R35,3,2010,Existing,All Buyer Types,137000.0
4905,R35,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,141250.0
4906,R35,3,2010,Existing,Household Buyer - Former Owner-Occupier,120000.0
4907,R35,3,2010,Existing,Household Buyer - Non-Occupier,
5464,R35,4,2010,All Dwelling Statuses,All Buyer Types,184333.0
5465,R35,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,160929.0
5466,R35,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,266250.0
5467,R35,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
6024,R35,4,2010,New,All Buyer Types,260000.0
6025,R35,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,260000.0
6026,R35,4,2010,New,Household Buyer - Former Owner-Occupier,
6027,R35,4,2010,New,Household Buyer - Non-Occupier,
6584,R35,4,2010,Existing,All Buyer Types,174875.0
6585,R35,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,144417.0
6586,R35,4,2010,Existing,Household Buyer - Former Owner-Occupier,266250.0
6587,R35,4,2010,Existing,Household Buyer - Non-Occupier,
7144,R35,5,2010,All Dwelling Statuses,All Buyer Types,230638.0
7145,R35,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,211000.0
7146,R35,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,250275.0
7147,R35,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7704,R35,5,2010,New,All Buyer Types,408600.0
7705,R35,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7706,R35,5,2010,New,Household Buyer - Former Owner-Occupier,408600.0
7707,R35,5,2010,New,Household Buyer - Non-Occupier,
