Routing Key,City,Month,Year,Dwelling Status,Type of Buyer,VALUE
V15,Kilrush,1,2010,All Dwelling Statuses,All Buyer Types,238250.0
V15,Kilrush,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,126500.0
V15,Kilrush,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,350000.0
V15,Kilrush,1,2010,New,All Buyer Types,
V15,Kilrush,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,1,2010,New,Household Buyer - Former Owner-Occupier,
V15,Kilrush,1,2010,New,Household Buyer - Non-Occupier,
V15,Kilrush,1,2010,Existing,All Buyer Types,238250.0
V15,Kilrush,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,1,2010,Existing,Household Buyer - Former Owner-Occupier,126500.0
V15,Kilrush,1,2010,Existing,Household Buyer - Non-Occupier,350000.0
V15,Kilrush,2,2010,All Dwelling Statuses,All Buyer Types,169205.0
V15,Kilrush,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,216660.0
V15,Kilrush,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,121750.0
V15,Kilrush,2,2010,New,All Buyer Types,263320.0
V15,Kilrush,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,2,2010,New,Household Buyer - Former Owner-Occupier,263320.0
V15,Kilrush,2,2010,New,Household Buyer - Non-Occupier,
V15,Kilrush,2,2010,Existing,All Buyer Types,137833.0
V15,Kilrush,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,2,2010,Existing,Household Buyer - Former Owner-Occupier,170000.0
V15,Kilrush,2,2010,Existing,Household Buyer - Non-Occupier,121750.0
V15,Kilrush,3,2010,All Dwelling Statuses,All Buyer Types,129017.0
V15,Kilrush,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
V15,Kilrush,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,129017.0
V15,Kilrush,3,2010,New,All Buyer Types,214050.0
V15,Kilrush,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,3,2010,New,Household Buyer - Former Owner-Occupier,
V15,Kilrush,3,2010,New,Household Buyer - Non-Occupier,214050.0
V15,Kilrush,3,2010,Existing,All Buyer Types,86500.0
V15,Kilrush,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,3,2010,Existing,Household Buyer - Former Owner-Occupier,
V15,Kilrush,3,2010,Existing,Household Buyer - Non-Occupier,86500.0
V15,Kilrush,4,2010,All Dwelling Statuses,All Buyer Types,150571.0
V15,Kilrush,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,127500.0
V15,Kilrush,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,340500.0
V15,Kilrush,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,114625.0
V15,Kilrush,4,2010,New,All Buyer Types,340500.0
V15,Kilrush,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,4,2010,New,Household Buyer - Former Owner-Occupier,340500.0
V15,Kilrush,4,2010,New,Household Buyer - Non-Occupier,
V15,Kilrush,4,2010,Existing,All Buyer Types,118917.0
V15,Kilrush,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,127500.0
V15,Kilrush,4,2010,Existing,Household Buyer - Former Owner-Occupier,
V15,Kilrush,4,2010,Existing,Household Buyer - Non-Occupier,114625.0
V15,Kilrush,5,2010,All Dwelling Statuses,All Buyer Types,150836.0
V15,Kilrush,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,165000.0
V15,Kilrush,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,176337.0
V15,Kilrush,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,80000.0
V15,Kilrush,5,2010,New,All Buyer Types,
V15,Kilrush,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,5,2010,New,Household Buyer - Former Owner-Occupier,
V15,Kilrush,5,2010,New,Household Buyer - Non-Occupier,
V15,Kilrush,5,2010,Existing,All Buyer Types,150836.0
V15,Kilrush,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,165000.0
V15,Kilrush,5,2010,Existing,Household Buyer - Former Owner-Occupier,176337.0
V15,Kilrush,5,2010,Existing,Household Buyer - Non-Occupier,80000.0
V15,Kilrush,6,2010,All Dwelling Statuses,All Buyer Types,191761.0
V15,Kilrush,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,151022.0
V15,Kilrush,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
V15,Kilrush,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,232500.0
V15,Kilrush,6,2010,New,All Buyer Types,167044.0
V15,Kilrush,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,167044.0
V15,Kilrush,6,2010,New,Household Buyer - Former Owner-Occupier,
V15,Kilrush,6,2010,New,Household Buyer - Non-Occupier,
V15,Kilrush,6,2010,Existing,All Buyer Types,200000.0
V15,Kilrush,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,135000.0
V15,Kilrush,6,2010,Existing,Household Buyer - Former Owner-Occupier,
V15,Kilrush,6,2010,Existing,Household Buyer - Non-Occupier,232500.0
V15,Kilrush,7,2010,All Dwelling Statuses,All Buyer Types,157160.0
V15,Kilrush,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,162000.0
V15,Kilrush,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,192316.0
V15,Kilrush,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,132917.0
V15,Kilrush,7,2010,New,All Buyer Types,238350.0
V15,Kilrush,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,7,2010,New,Household Buyer - Former Owner-Occupier,238350.0
V15,Kilrush,7,2010,New,Household Buyer - Non-Occupier,
V15,Kilrush,7,2010,Existing,All Buyer Types,149041.0
V15,Kilrush,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,162000.0
V15,Kilrush,7,2010,Existing,Household Buyer - Former Owner-Occupier,176972.0
V15,Kilrush,7,2010,Existing,Household Buyer - Non-Occupier,132917.0
V15,Kilrush,8,2010,All Dwelling Statuses,All Buyer Types,137500.0
V15,Kilrush,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,138750.0
V15,Kilrush,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,132500.0
V15,Kilrush,8,2010,New,All Buyer Types,
V15,Kilrush,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,8,2010,New,Household Buyer - Former Owner-Occupier,
V15,Kilrush,8,2010,New,Household Buyer - Non-Occupier,
V15,Kilrush,8,2010,Existing,All Buyer Types,137500.0
V15,Kilrush,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,8,2010,Existing,Household Buyer - Former Owner-Occupier,138750.0
V15,Kilrush,8,2010,Existing,Household Buyer - Non-Occupier,132500.0
V15,Kilrush,9,2010,All Dwelling Statuses,All Buyer Types,142800.0
V15,Kilrush,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
V15,Kilrush,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,142800.0
V15,Kilrush,9,2010,New,All Buyer Types,295000.0
V15,Kilrush,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,9,2010,New,Household Buyer - Former Owner-Occupier,
V15,Kilrush,9,2010,New,Household Buyer - Non-Occupier,295000.0
V15,Kilrush,9,2010,Existing,All Buyer Types,104750.0
V15,Kilrush,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,9,2010,Existing,Household Buyer - Former Owner-Occupier,
V15,Kilrush,9,2010,Existing,Household Buyer - Non-Occupier,104750.0
V15,Kilrush,10,2010,All Dwelling Statuses,All Buyer Types,166007.0
V15,Kilrush,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,270350.0
V15,Kilrush,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,66000.0
V15,Kilrush,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,95000.0
V15,Kilrush,10,2010,New,All Buyer Types,261050.0
V15,Kilrush,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,261050.0
V15,Kilrush,10,2010,New,Household Buyer - Former Owner-Occupier,
V15,Kilrush,10,2010,New,Household Buyer - Non-Occupier,
V15,Kilrush,10,2010,Existing,All Buyer Types,150167.0
V15,Kilrush,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,275000.0
V15,Kilrush,10,2010,Existing,Household Buyer - Former Owner-Occupier,66000.0
V15,Kilrush,10,2010,Existing,Household Buyer - Non-Occupier,95000.0
V15,Kilrush,11,2010,All Dwelling Statuses,All Buyer Types,147210.0
V15,Kilrush,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,96000.0
V15,Kilrush,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,176472.0
V15,Kilrush,11,2010,New,All Buyer Types,198725.0
V15,Kilrush,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,11,2010,New,Household Buyer - Former Owner-Occupier,
V15,Kilrush,11,2010,New,Household Buyer - Non-Occupier,198725.0
V15,Kilrush,11,2010,Existing,All Buyer Types,135762.0
V15,Kilrush,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,11,2010,Existing,Household Buyer - Former Owner-Occupier,96000.0
V15,Kilrush,11,2010,Existing,Household Buyer - Non-Occupier,167571.0
V15,Kilrush,12,2010,All Dwelling Statuses,All Buyer Types,143713.0
V15,Kilrush,12,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,183750.0
V15,Kilrush,12,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,104000.0
V15,Kilrush,12,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,137947.0
V15,Kilrush,12,2010,New,All Buyer Types,115499.0
V15,Kilrush,12,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,147499.0
V15,Kilrush,12,2010,New,Household Buyer - Former Owner-Occupier,
V15,Kilrush,12,2010,New,Household Buyer - Non-Occupier,107499.0
V15,Kilrush,12,2010,Existing,All Buyer Types,171927.0
V15,Kilrush,12,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,220000.0
V15,Kilrush,12,2010,Existing,Household Buyer - Former Owner-Occupier,104000.0
V15,Kilrush,12,2010,Existing,Household Buyer - Non-Occupier,178544.0
V15,Kilrush,1,2011,All Dwelling Statuses,All Buyer Types,160000.0
V15,Kilrush,1,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,1,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
V15,Kilrush,1,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,160000.0
V15,Kilrush,1,2011,New,All Buyer Types,
V15,Kilrush,1,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,1,2011,New,Household Buyer - Former Owner-Occupier,
V15,Kilrush,1,2011,New,Household Buyer - Non-Occupier,
V15,Kilrush,1,2011,Existing,All Buyer Types,160000.0
V15,Kilrush,1,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,1,2011,Existing,Household Buyer - Former Owner-Occupier,
V15,Kilrush,1,2011,Existing,Household Buyer - Non-Occupier,160000.0
V15,Kilrush,2,2011,All Dwelling Statuses,All Buyer Types,159152.0
V15,Kilrush,2,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,2,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,113572.0
V15,Kilrush,2,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,273101.0
V15,Kilrush,2,2011,New,All Buyer Types,248101.0
V15,Kilrush,2,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,2,2011,New,Household Buyer - Former Owner-Occupier,230000.0
V15,Kilrush,2,2011,New,Household Buyer - Non-Occupier,266201.0
V15,Kilrush,2,2011,Existing,All Buyer Types,123572.0
V15,Kilrush,2,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,2,2011,Existing,Household Buyer - Former Owner-Occupier,84465.0
V15,Kilrush,2,2011,Existing,Household Buyer - Non-Occupier,280000.0
V15,Kilrush,3,2011,All Dwelling Statuses,All Buyer Types,119463.0
V15,Kilrush,3,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,3,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
V15,Kilrush,3,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,119463.0
V15,Kilrush,3,2011,New,All Buyer Types,175925.0
V15,Kilrush,3,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,3,2011,New,Household Buyer - Former Owner-Occupier,
V15,Kilrush,3,2011,New,Household Buyer - Non-Occupier,175925.0
V15,Kilrush,3,2011,Existing,All Buyer Types,63000.0
V15,Kilrush,3,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,3,2011,Existing,Household Buyer - Former Owner-Occupier,
V15,Kilrush,3,2011,Existing,Household Buyer - Non-Occupier,63000.0
V15,Kilrush,4,2011,All Dwelling Statuses,All Buyer Types,108067.0
V15,Kilrush,4,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,4,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,93000.0
V15,Kilrush,4,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,115600.0
V15,Kilrush,4,2011,New,All Buyer Types,136200.0
V15,Kilrush,4,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,4,2011,New,Household Buyer - Former Owner-Occupier,
V15,Kilrush,4,2011,New,Household Buyer - Non-Occupier,136200.0
V15,Kilrush,4,2011,Existing,All Buyer Types,94000.0
V15,Kilrush,4,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,4,2011,Existing,Household Buyer - Former Owner-Occupier,93000.0
V15,Kilrush,4,2011,Existing,Household Buyer - Non-Occupier,95000.0
V15,Kilrush,5,2011,All Dwelling Statuses,All Buyer Types,101917.0
V15,Kilrush,5,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,5,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,104500.0
V15,Kilrush,5,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,99333.0
V15,Kilrush,5,2011,New,All Buyer Types,
V15,Kilrush,5,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,5,2011,New,Household Buyer - Former Owner-Occupier,
V15,Kilrush,5,2011,New,Household Buyer - Non-Occupier,
V15,Kilrush,5,2011,Existing,All Buyer Types,101917.0
V15,Kilrush,5,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,5,2011,Existing,Household Buyer - Former Owner-Occupier,104500.0
V15,Kilrush,5,2011,Existing,Household Buyer - Non-Occupier,99333.0
V15,Kilrush,6,2011,All Dwelling Statuses,All Buyer Types,148333.0
V15,Kilrush,6,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,185000.0
V15,Kilrush,6,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
V15,Kilrush,6,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,130000.0
V15,Kilrush,6,2011,New,All Buyer Types,
V15,Kilrush,6,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
V15,Kilrush,6,2011,New,Household Buyer - Former Owner-Occupier,
V15,Kilrush,6,2011,New,Household Buyer - Non-Occupier,
V15,Kilrush,6,2011,Existing,All Buyer Types,148333.0
V15,Kilrush,6,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,185000.0
V15,Kilrush,6,2011,Existing,Household Buyer - Former Owner-Occupier,
V15,Kilrush,6,2011,Existing,Household Buyer - Non-Occupier,130000.0
