Routing Key,City,Month,Year,Dwelling Status,Type of Buyer,VALUE
V92,Tralee,1,2010,All Dwelling Statuses,All Buyer Types,212961.0
V92,Tralee,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,175143.0
V92,Tralee,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,256000.0
V92,Tralee,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,181000.0
V92,Tralee,1,2010,New,All Buyer Types,193285.0
V92,Tralee,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,206570.0
V92,Tralee,1,2010,New,Household Buyer - Former Owner-Occupier,180000.0
V92,Tralee,1,2010,New,Household Buyer - Non-Occupier,
V92,Tralee,1,2010,Existing,All Buyer Types,217333.0
V92,Tralee,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,164667.0
V92,Tralee,1,2010,Existing,Household Buyer - Former Owner-Occupier,275000.0
V92,Tralee,1,2010,Existing,Household Buyer - Non-Occupier,181000.0
V92,Tralee,2,2010,All Dwelling Statuses,All Buyer Types,149488.0
V92,Tralee,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,157563.0
V92,Tralee,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,137500.0
V92,Tralee,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,147407.0
V92,Tralee,2,2010,New,All Buyer Types,170250.0
V92,Tralee,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,170250.0
V92,Tralee,2,2010,New,Household Buyer - Former Owner-Occupier,
V92,Tralee,2,2010,New,Household Buyer - Non-Occupier,
V92,Tralee,2,2010,Existing,All Buyer Types,147181.0
V92,Tralee,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,153333.0
V92,Tralee,2,2010,Existing,Household Buyer - Former Owner-Occupier,137500.0
V92,Tralee,2,2010,Existing,Household Buyer - Non-Occupier,147407.0
V92,Tralee,3,2010,All Dwelling Statuses,All Buyer Types,197331.0
V92,Tralee,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,196190.0
V92,Tralee,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,269523.0
V92,Tralee,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,109375.0
V92,Tralee,3,2010,New,All Buyer Types,235533.0
V92,Tralee,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,189758.0
V92,Tralee,3,2010,New,Household Buyer - Former Owner-Occupier,281308.0
V92,Tralee,3,2010,New,Household Buyer - Non-Occupier,
V92,Tralee,3,2010,Existing,All Buyer Types,185577.0
V92,Tralee,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,198333.0
V92,Tralee,3,2010,Existing,Household Buyer - Former Owner-Occupier,261667.0
V92,Tralee,3,2010,Existing,Household Buyer - Non-Occupier,109375.0
V92,Tralee,4,2010,All Dwelling Statuses,All Buyer Types,222781.0
V92,Tralee,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,279775.0
V92,Tralee,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,239095.0
V92,Tralee,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,125000.0
V92,Tralee,4,2010,New,All Buyer Types,308342.0
V92,Tralee,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,374550.0
V92,Tralee,4,2010,New,Household Buyer - Former Owner-Occupier,275238.0
V92,Tralee,4,2010,New,Household Buyer - Non-Occupier,
V92,Tralee,4,2010,Existing,All Buyer Types,180000.0
V92,Tralee,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,185000.0
V92,Tralee,4,2010,Existing,Household Buyer - Former Owner-Occupier,215000.0
V92,Tralee,4,2010,Existing,Household Buyer - Non-Occupier,125000.0
V92,Tralee,5,2010,All Dwelling Statuses,All Buyer Types,177423.0
V92,Tralee,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,183794.0
V92,Tralee,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,252500.0
V92,Tralee,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,137200.0
V92,Tralee,5,2010,New,All Buyer Types,199949.0
V92,Tralee,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,199949.0
V92,Tralee,5,2010,New,Household Buyer - Former Owner-Occupier,
V92,Tralee,5,2010,New,Household Buyer - Non-Occupier,
V92,Tralee,5,2010,Existing,All Buyer Types,171792.0
V92,Tralee,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,174100.0
V92,Tralee,5,2010,Existing,Household Buyer - Former Owner-Occupier,252500.0
V92,Tralee,5,2010,Existing,Household Buyer - Non-Occupier,137200.0
V92,Tralee,6,2010,All Dwelling Statuses,All Buyer Types,253820.0
V92,Tralee,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,176786.0
V92,Tralee,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,304771.0
V92,Tralee,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,331667.0
V92,Tralee,6,2010,New,All Buyer Types,227875.0
V92,Tralee,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
V92,Tralee,6,2010,New,Household Buyer - Former Owner-Occupier,256813.0
V92,Tralee,6,2010,New,Household Buyer - Non-Occupier,170000.0
V92,Tralee,6,2010,Existing,All Buyer Types,259808.0
V92,Tralee,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,176786.0
V92,Tralee,6,2010,Existing,Household Buyer - Former Owner-Occupier,328750.0
V92,Tralee,6,2010,Existing,Household Buyer - Non-Occupier,412500.0
V92,Tralee,7,2010,All Dwelling Statuses,All Buyer Types,168385.0
V92,Tralee,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,183573.0
V92,Tralee,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,172833.0
V92,Tralee,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,128000.0
V92,Tralee,7,2010,New,All Buyer Types,208716.0
V92,Tralee,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,200895.0
V92,Tralee,7,2010,New,Household Buyer - Former Owner-Occupier,240000.0
V92,Tralee,7,2010,New,Household Buyer - Non-Occupier,
V92,Tralee,7,2010,Existing,All Buyer Types,155781.0
V92,Tralee,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,166250.0
V92,Tralee,7,2010,Existing,Household Buyer - Former Owner-Occupier,164438.0
V92,Tralee,7,2010,Existing,Household Buyer - Non-Occupier,128000.0
V92,Tralee,8,2010,All Dwelling Statuses,All Buyer Types,178928.0
V92,Tralee,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,174433.0
V92,Tralee,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,191725.0
V92,Tralee,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,174250.0
V92,Tralee,8,2010,New,All Buyer Types,203433.0
V92,Tralee,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,195083.0
V92,Tralee,8,2010,New,Household Buyer - Former Owner-Occupier,232675.0
V92,Tralee,8,2010,New,Household Buyer - Non-Occupier,169999.0
V92,Tralee,8,2010,Existing,All Buyer Types,170279.0
V92,Tralee,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,169271.0
V92,Tralee,8,2010,Existing,Household Buyer - Former Owner-Occupier,171250.0
V92,Tralee,8,2010,Existing,Household Buyer - Non-Occupier,178500.0
V92,Tralee,9,2010,All Dwelling Statuses,All Buyer Types,152255.0
V92,Tralee,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,139510.0
V92,Tralee,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,255000.0
V92,Tralee,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,105000.0
V92,Tralee,9,2010,New,All Buyer Types,270000.0
V92,Tralee,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
V92,Tralee,9,2010,New,Household Buyer - Former Owner-Occupier,370000.0
V92,Tralee,9,2010,New,Household Buyer - Non-Occupier,170000.0
V92,Tralee,9,2010,Existing,All Buyer Types,122819.0
V92,Tralee,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,139510.0
V92,Tralee,9,2010,Existing,Household Buyer - Former Owner-Occupier,140000.0
V92,Tralee,9,2010,Existing,Household Buyer - Non-Occupier,72500.0
V92,Tralee,10,2010,All Dwelling Statuses,All Buyer Types,228605.0
V92,Tralee,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,162629.0
V92,Tralee,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,361263.0
V92,Tralee,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,127875.0
V92,Tralee,10,2010,New,All Buyer Types,450739.0
V92,Tralee,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,192950.0
V92,Tralee,10,2010,New,Household Buyer - Former Owner-Occupier,966316.0
V92,Tralee,10,2010,New,Household Buyer - Non-Occupier,
V92,Tralee,10,2010,Existing,All Buyer Types,168023.0
V92,Tralee,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,150500.0
V92,Tralee,10,2010,Existing,Household Buyer - Former Owner-Occupier,210000.0
V92,Tralee,10,2010,Existing,Household Buyer - Non-Occupier,127875.0
V92,Tralee,11,2010,All Dwelling Statuses,All Buyer Types,188566.0
V92,Tralee,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,210304.0
V92,Tralee,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,202579.0
V92,Tralee,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,129820.0
V92,Tralee,11,2010,New,All Buyer Types,259859.0
V92,Tralee,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,284413.0
V92,Tralee,11,2010,New,Household Buyer - Former Owner-Occupier,223028.0
V92,Tralee,11,2010,New,Household Buyer - Non-Occupier,
V92,Tralee,11,2010,Existing,All Buyer Types,166288.0
V92,Tralee,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,173250.0
V92,Tralee,11,2010,Existing,Household Buyer - Former Owner-Occupier,194400.0
V92,Tralee,11,2010,Existing,Household Buyer - Non-Occupier,129820.0
V92,Tralee,12,2010,All Dwelling Statuses,All Buyer Types,185823.0
V92,Tralee,12,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,139763.0
V92,Tralee,12,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,237625.0
V92,Tralee,12,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,236500.0
V92,Tralee,12,2010,New,All Buyer Types,175815.0
