Routing Key,City,Month,Year,Dwelling Status,Type of Buyer,VALUE
W12,Newbridge,1,2010,All Dwelling Statuses,All Buyer Types,298728.0
W12,Newbridge,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,217100.0
W12,Newbridge,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,358265.0
W12,Newbridge,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,365000.0
W12,Newbridge,1,2010,New,All Buyer Types,319774.0
W12,Newbridge,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,204300.0
W12,Newbridge,1,2010,New,Household Buyer - Former Owner-Occupier,358265.0
W12,Newbridge,1,2010,New,Household Buyer - Non-Occupier,
W12,Newbridge,1,2010,Existing,All Buyer Types,270667.0
W12,Newbridge,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,223500.0
W12,Newbridge,1,2010,Existing,Household Buyer - Former Owner-Occupier,
W12,Newbridge,1,2010,Existing,Household Buyer - Non-Occupier,365000.0
W12,Newbridge,2,2010,All Dwelling Statuses,All Buyer Types,251888.0
W12,Newbridge,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,277018.0
W12,Newbridge,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,176500.0
W12,Newbridge,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
W12,Newbridge,2,2010,New,All Buyer Types,280777.0
W12,Newbridge,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,324369.0
W12,Newbridge,2,2010,New,Household Buyer - Former Owner-Occupier,150000.0
W12,Newbridge,2,2010,New,Household Buyer - Non-Occupier,
W12,Newbridge,2,2010,Existing,All Buyer Types,223000.0
W12,Newbridge,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,229667.0
W12,Newbridge,2,2010,Existing,Household Buyer - Former Owner-Occupier,203000.0
W12,Newbridge,2,2010,Existing,Household Buyer - Non-Occupier,
W12,Newbridge,3,2010,All Dwelling Statuses,All Buyer Types,215661.0
W12,Newbridge,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,204129.0
W12,Newbridge,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,411085.0
W12,Newbridge,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,131509.0
W12,Newbridge,3,2010,New,All Buyer Types,209584.0
W12,Newbridge,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,197172.0
W12,Newbridge,3,2010,New,Household Buyer - Former Owner-Occupier,555525.0
W12,Newbridge,3,2010,New,Household Buyer - Non-Occupier,131509.0
W12,Newbridge,3,2010,Existing,All Buyer Types,235411.0
