,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
536,X91,1,2010,All Dwelling Statuses,All Buyer Types,206193.0
537,X91,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,197743.0
538,X91,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,224692.0
539,X91,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,175250.0
1096,X91,1,2010,New,All Buyer Types,257467.0
1097,X91,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,251970.0
1098,X91,1,2010,New,Household Buyer - Former Owner-Occupier,300448.0
1099,X91,1,2010,New,Household Buyer - Non-Occupier,182499.0
1656,X91,1,2010,Existing,All Buyer Types,184829.0
1657,X91,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,179667.0
1658,X91,1,2010,Existing,Household Buyer - Former Owner-Occupier,194390.0
1659,X91,1,2010,Existing,Household Buyer - Non-Occupier,168000.0
2216,X91,2,2010,All Dwelling Statuses,All Buyer Types,225925.0
2217,X91,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,172022.0
2218,X91,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,369667.0
2219,X91,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2776,X91,2,2010,New,All Buyer Types,259726.0
2777,X91,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,259726.0
2778,X91,2,2010,New,Household Buyer - Former Owner-Occupier,
2779,X91,2,2010,New,Household Buyer - Non-Occupier,
3336,X91,2,2010,Existing,All Buyer Types,213250.0
3337,X91,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,119400.0
3338,X91,2,2010,Existing,Household Buyer - Former Owner-Occupier,369667.0
3339,X91,2,2010,Existing,Household Buyer - Non-Occupier,
3896,X91,3,2010,All Dwelling Statuses,All Buyer Types,206302.0
3897,X91,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,187595.0
3898,X91,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,273200.0
3899,X91,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,117400.0
4456,X91,3,2010,New,All Buyer Types,191829.0
4457,X91,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,184786.0
4458,X91,3,2010,New,Household Buyer - Former Owner-Occupier,220000.0
4459,X91,3,2010,New,Household Buyer - Non-Occupier,
5016,X91,3,2010,Existing,All Buyer Types,209591.0
5017,X91,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,189000.0
5018,X91,3,2010,Existing,Household Buyer - Former Owner-Occupier,279111.0
5019,X91,3,2010,Existing,Household Buyer - Non-Occupier,117400.0
5576,X91,4,2010,All Dwelling Statuses,All Buyer Types,215840.0
5577,X91,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,196030.0
5578,X91,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,257788.0
5579,X91,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,87667.0
6136,X91,4,2010,New,All Buyer Types,262377.0
6137,X91,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,304180.0
6138,X91,4,2010,New,Household Buyer - Former Owner-Occupier,241475.0
6139,X91,4,2010,New,Household Buyer - Non-Occupier,
6696,X91,4,2010,Existing,All Buyer Types,208083.0
6697,X91,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,174400.0
6698,X91,4,2010,Existing,Household Buyer - Former Owner-Occupier,261050.0
6699,X91,4,2010,Existing,Household Buyer - Non-Occupier,87667.0
7256,X91,5,2010,All Dwelling Statuses,All Buyer Types,182171.0
7257,X91,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,211238.0
7258,X91,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,182200.0
7259,X91,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,124000.0
7816,X91,5,2010,New,All Buyer Types,245806.0
7817,X91,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,240461.0
7818,X91,5,2010,New,Household Buyer - Former Owner-Occupier,251150.0
7819,X91,5,2010,New,Household Buyer - Non-Occupier,
8376,X91,5,2010,Existing,All Buyer Types,156717.0
8377,X91,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,198714.0
8378,X91,5,2010,Existing,Household Buyer - Former Owner-Occupier,113250.0
8379,X91,5,2010,Existing,Household Buyer - Non-Occupier,124000.0
8936,X91,6,2010,All Dwelling Statuses,All Buyer Types,174445.0
8937,X91,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,163466.0
8938,X91,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,246813.0
8939,X91,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,89400.0
9496,X91,6,2010,New,All Buyer Types,211256.0
9497,X91,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,211256.0
9498,X91,6,2010,New,Household Buyer - Former Owner-Occupier,
9499,X91,6,2010,New,Household Buyer - Non-Occupier,
10056,X91,6,2010,Existing,All Buyer Types,168043.0
10057,X91,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,144350.0
10058,X91,6,2010,Existing,Household Buyer - Former Owner-Occupier,246813.0
10059,X91,6,2010,Existing,Household Buyer - Non-Occupier,89400.0
10616,X91,7,2010,All Dwelling Statuses,All Buyer Types,220522.0
10617,X91,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,183634.0
10618,X91,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,290200.0
10619,X91,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
11176,X91,7,2010,New,All Buyer Types,225215.0
11177,X91,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,173694.0
11178,X91,7,2010,New,Household Buyer - Former Owner-Occupier,431300.0
11179,X91,7,2010,New,Household Buyer - Non-Occupier,
11736,X91,7,2010,Existing,All Buyer Types,219405.0
11737,X91,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,186692.0
11738,X91,7,2010,Existing,Household Buyer - Former Owner-Occupier,272563.0
11739,X91,7,2010,Existing,Household Buyer - Non-Occupier,
12296,X91,8,2010,All Dwelling Statuses,All Buyer Types,188331.0
12297,X91,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,152941.0
12298,X91,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,356000.0
12299,X91,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,93300.0
12856,X91,8,2010,New,All Buyer Types,152159.0
12857,X91,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,154185.0
12858,X91,8,2010,New,Household Buyer - Former Owner-Occupier,
12859,X91,8,2010,New,Household Buyer - Non-Occupier,140000.0
13416,X91,8,2010,Existing,All Buyer Types,201658.0
13417,X91,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,152111.0
13418,X91,8,2010,Existing,Household Buyer - Former Owner-Occupier,356000.0
13419,X91,8,2010,Existing,Household Buyer - Non-Occupier,81625.0
13976,X91,9,2010,All Dwelling Statuses,All Buyer Types,189034.0
13977,X91,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,207587.0
13978,X91,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,204959.0
13979,X91,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,92250.0
14536,X91,9,2010,New,All Buyer Types,250974.0
14537,X91,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,180111.0
14538,X91,9,2010,New,Household Buyer - Former Owner-Occupier,321837.0
14539,X91,9,2010,New,Household Buyer - Non-Occupier,
15096,X91,9,2010,Existing,All Buyer Types,177773.0
15097,X91,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,212167.0
15098,X91,9,2010,Existing,Household Buyer - Former Owner-Occupier,166000.0
15099,X91,9,2010,Existing,Household Buyer - Non-Occupier,92250.0
15656,X91,10,2010,All Dwelling Statuses,All Buyer Types,204352.0
15657,X91,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,219640.0
15658,X91,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,227782.0
15659,X91,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,123571.0
16216,X91,10,2010,New,All Buyer Types,301824.0
16217,X91,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,244074.0
16218,X91,10,2010,New,Household Buyer - Former Owner-Occupier,359575.0
16219,X91,10,2010,New,Household Buyer - Non-Occupier,
16776,X91,10,2010,Existing,All Buyer Types,184858.0
16777,X91,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,212976.0
16778,X91,10,2010,Existing,Household Buyer - Former Owner-Occupier,194833.0
16779,X91,10,2010,Existing,Household Buyer - Non-Occupier,123571.0
17336,X91,11,2010,All Dwelling Statuses,All Buyer Types,206314.0
17337,X91,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,204073.0
17338,X91,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,281295.0
17339,X91,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,118750.0
17896,X91,11,2010,New,All Buyer Types,242555.0
17897,X91,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,222100.0
17898,X91,11,2010,New,Household Buyer - Former Owner-Occupier,386475.0
17899,X91,11,2010,New,Household Buyer - Non-Occupier,160000.0
18456,X91,11,2010,Existing,All Buyer Types,194233.0
18457,X91,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,197313.0
18458,X91,11,2010,Existing,Household Buyer - Former Owner-Occupier,255000.0
18459,X91,11,2010,Existing,Household Buyer - Non-Occupier,105000.0
19016,X91,12,2010,All Dwelling Statuses,All Buyer Types,189481.0
19017,X91,12,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,183379.0
19018,X91,12,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,259000.0
19019,X91,12,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,134401.0
19576,X91,12,2010,New,All Buyer Types,243750.0
19577,X91,12,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,211989.0
19578,X91,12,2010,New,Household Buyer - Former Owner-Occupier,291666.0
19579,X91,12,2010,New,Household Buyer - Non-Occupier,258806.0
20136,X91,12,2010,Existing,All Buyer Types,173726.0
20137,X91,12,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,171458.0
20138,X91,12,2010,Existing,Household Buyer - Former Owner-Occupier,246750.0
20139,X91,12,2010,Existing,Household Buyer - Non-Occupier,123091.0
20696,X91,1,2011,All Dwelling Statuses,All Buyer Types,168492.0
20697,X91,1,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,159232.0
