,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
468,T56,1,2010,All Dwelling Statuses,All Buyer Types,357850.0
469,T56,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,414275.0
470,T56,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,245000.0
471,T56,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
1028,T56,1,2010,New,All Buyer Types,414275.0
1029,T56,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,414275.0
1030,T56,1,2010,New,Household Buyer - Former Owner-Occupier,
1031,T56,1,2010,New,Household Buyer - Non-Occupier,
1588,T56,1,2010,Existing,All Buyer Types,245000.0
1589,T56,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1590,T56,1,2010,Existing,Household Buyer - Former Owner-Occupier,245000.0
1591,T56,1,2010,Existing,Household Buyer - Non-Occupier,
2148,T56,2,2010,All Dwelling Statuses,All Buyer Types,312417.0
2149,T56,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,246875.0
2150,T56,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,443500.0
2151,T56,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2708,T56,2,2010,New,All Buyer Types,283750.0
2709,T56,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,283750.0
2710,T56,2,2010,New,Household Buyer - Former Owner-Occupier,
2711,T56,2,2010,New,Household Buyer - Non-Occupier,
3268,T56,2,2010,Existing,All Buyer Types,326750.0
3269,T56,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,210000.0
3270,T56,2,2010,Existing,Household Buyer - Former Owner-Occupier,443500.0
3271,T56,2,2010,Existing,Household Buyer - Non-Occupier,
3828,T56,3,2010,All Dwelling Statuses,All Buyer Types,315405.0
3829,T56,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,323107.0
3830,T56,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,300000.0
3831,T56,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4388,T56,3,2010,New,All Buyer Types,323107.0
4389,T56,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,323107.0
4390,T56,3,2010,New,Household Buyer - Former Owner-Occupier,
4391,T56,3,2010,New,Household Buyer - Non-Occupier,
4948,T56,3,2010,Existing,All Buyer Types,300000.0
4949,T56,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
4950,T56,3,2010,Existing,Household Buyer - Former Owner-Occupier,300000.0
4951,T56,3,2010,Existing,Household Buyer - Non-Occupier,
5508,T56,4,2010,All Dwelling Statuses,All Buyer Types,311812.0
5509,T56,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,285000.0
5510,T56,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,338624.0
5511,T56,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
6068,T56,4,2010,New,All Buyer Types,338624.0
6069,T56,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
6070,T56,4,2010,New,Household Buyer - Former Owner-Occupier,338624.0
6071,T56,4,2010,New,Household Buyer - Non-Occupier,
6628,T56,4,2010,Existing,All Buyer Types,285000.0
6629,T56,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,285000.0
6630,T56,4,2010,Existing,Household Buyer - Former Owner-Occupier,
6631,T56,4,2010,Existing,Household Buyer - Non-Occupier,
7188,T56,5,2010,All Dwelling Statuses,All Buyer Types,269000.0
7189,T56,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,250000.0
7190,T56,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,278500.0
7191,T56,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7748,T56,5,2010,New,All Buyer Types,
7749,T56,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
7750,T56,5,2010,New,Household Buyer - Former Owner-Occupier,
7751,T56,5,2010,New,Household Buyer - Non-Occupier,
8308,T56,5,2010,Existing,All Buyer Types,269000.0
8309,T56,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,250000.0
8310,T56,5,2010,Existing,Household Buyer - Former Owner-Occupier,278500.0
8311,T56,5,2010,Existing,Household Buyer - Non-Occupier,
8868,T56,6,2010,All Dwelling Statuses,All Buyer Types,
8869,T56,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
8870,T56,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
8871,T56,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
9428,T56,6,2010,New,All Buyer Types,
9429,T56,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9430,T56,6,2010,New,Household Buyer - Former Owner-Occupier,
9431,T56,6,2010,New,Household Buyer - Non-Occupier,
9988,T56,6,2010,Existing,All Buyer Types,
9989,T56,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
9990,T56,6,2010,Existing,Household Buyer - Former Owner-Occupier,
9991,T56,6,2010,Existing,Household Buyer - Non-Occupier,
10548,T56,7,2010,All Dwelling Statuses,All Buyer Types,215194.0
10549,T56,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,196165.0
10550,T56,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,227880.0
10551,T56,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
11108,T56,7,2010,New,All Buyer Types,251886.0
