,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
208,F28,1,2010,All Dwelling Statuses,All Buyer Types,136200.0
209,F28,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
210,F28,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
211,F28,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,136200.0
768,F28,1,2010,New,All Buyer Types,136200.0
769,F28,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
770,F28,1,2010,New,Household Buyer - Former Owner-Occupier,
771,F28,1,2010,New,Household Buyer - Non-Occupier,136200.0
1328,F28,1,2010,Existing,All Buyer Types,
1329,F28,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
1330,F28,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1331,F28,1,2010,Existing,Household Buyer - Non-Occupier,
1888,F28,2,2010,All Dwelling Statuses,All Buyer Types,202529.0
1889,F28,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,205000.0
1890,F28,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,278587.0
1891,F28,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,124000.0
2448,F28,2,2010,New,All Buyer Types,337881.0
2449,F28,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2450,F28,2,2010,New,Household Buyer - Former Owner-Occupier,337881.0
2451,F28,2,2010,New,Household Buyer - Non-Occupier,
3008,F28,2,2010,Existing,All Buyer Types,163857.0
3009,F28,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,205000.0
3010,F28,2,2010,Existing,Household Buyer - Former Owner-Occupier,160000.0
3011,F28,2,2010,Existing,Household Buyer - Non-Occupier,124000.0
3568,F28,3,2010,All Dwelling Statuses,All Buyer Types,253844.0
3569,F28,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,205000.0
3570,F28,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,346438.0
3571,F28,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,117500.0
4128,F28,3,2010,New,All Buyer Types,339375.0
4129,F28,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4130,F28,3,2010,New,Household Buyer - Former Owner-Occupier,339375.0
4131,F28,3,2010,New,Household Buyer - Non-Occupier,
4688,F28,3,2010,Existing,All Buyer Types,225333.0
4689,F28,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,205000.0
4690,F28,3,2010,Existing,Household Buyer - Former Owner-Occupier,353500.0
4691,F28,3,2010,Existing,Household Buyer - Non-Occupier,117500.0
5248,F28,4,2010,All Dwelling Statuses,All Buyer Types,211150.0
5249,F28,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,181600.0
5250,F28,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,221000.0
5251,F28,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
5808,F28,4,2010,New,All Buyer Types,181600.0
5809,F28,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,181600.0
5810,F28,4,2010,New,Household Buyer - Former Owner-Occupier,
5811,F28,4,2010,New,Household Buyer - Non-Occupier,
6368,F28,4,2010,Existing,All Buyer Types,221000.0
6369,F28,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
6370,F28,4,2010,Existing,Household Buyer - Former Owner-Occupier,221000.0
6371,F28,4,2010,Existing,Household Buyer - Non-Occupier,
6928,F28,5,2010,All Dwelling Statuses,All Buyer Types,185414.0
6929,F28,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,189850.0
6930,F28,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,139019.0
6931,F28,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,218500.0
7488,F28,5,2010,New,All Buyer Types,160319.0
