,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
556,Y35,1,2010,All Dwelling Statuses,All Buyer Types,213413.0
557,Y35,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,164761.0
558,Y35,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,254750.0
559,Y35,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,223167.0
1116,Y35,1,2010,New,All Buyer Types,212014.0
1117,Y35,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,191543.0
1118,Y35,1,2010,New,Household Buyer - Former Owner-Occupier,
1119,Y35,1,2010,New,Household Buyer - Non-Occupier,222250.0
1676,Y35,1,2010,Existing,All Buyer Types,213938.0
1677,Y35,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,155833.0
1678,Y35,1,2010,Existing,Household Buyer - Former Owner-Occupier,254750.0
1679,Y35,1,2010,Existing,Household Buyer - Non-Occupier,225000.0
2236,Y35,2,2010,All Dwelling Statuses,All Buyer Types,265434.0
2237,Y35,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,184998.0
2238,Y35,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,283309.0
2239,Y35,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2796,Y35,2,2010,New,All Buyer Types,270796.0
2797,Y35,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,199996.0
2798,Y35,2,2010,New,Household Buyer - Former Owner-Occupier,284956.0
2799,Y35,2,2010,New,Household Buyer - Non-Occupier,
3356,Y35,2,2010,Existing,All Buyer Types,259000.0
3357,Y35,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,170000.0
3358,Y35,2,2010,Existing,Household Buyer - Former Owner-Occupier,281250.0
3359,Y35,2,2010,Existing,Household Buyer - Non-Occupier,
3916,Y35,3,2010,All Dwelling Statuses,All Buyer Types,182628.0
3917,Y35,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,182402.0
3918,Y35,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,196980.0
3919,Y35,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,159083.0
4476,Y35,3,2010,New,All Buyer Types,250603.0
4477,Y35,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,317010.0
4478,Y35,3,2010,New,Household Buyer - Former Owner-Occupier,275200.0
4479,Y35,3,2010,New,Household Buyer - Non-Occupier,135000.0
5036,Y35,3,2010,Existing,All Buyer Types,152417.0
5037,Y35,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,148750.0
5038,Y35,3,2010,Existing,Household Buyer - Former Owner-Occupier,144833.0
5039,Y35,3,2010,Existing,Household Buyer - Non-Occupier,171125.0
5596,Y35,4,2010,All Dwelling Statuses,All Buyer Types,212132.0
5597,Y35,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,211143.0
5598,Y35,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,203008.0
5599,Y35,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,226972.0
6156,Y35,4,2010,New,All Buyer Types,248987.0
6157,Y35,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
6158,Y35,4,2010,New,Household Buyer - Former Owner-Occupier,267025.0
6159,Y35,4,2010,New,Household Buyer - Non-Occupier,235458.0
6716,Y35,4,2010,Existing,All Buyer Types,194933.0
6717,Y35,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,211143.0
6718,Y35,4,2010,Existing,Household Buyer - Former Owner-Occupier,171000.0
6719,Y35,4,2010,Existing,Household Buyer - Non-Occupier,210000.0
7276,Y35,5,2010,All Dwelling Statuses,All Buyer Types,208278.0
7277,Y35,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,251853.0
7278,Y35,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,197150.0
7279,Y35,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,158224.0
7836,Y35,5,2010,New,All Buyer Types,185758.0
7837,Y35,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,177309.0
7838,Y35,5,2010,New,Household Buyer - Former Owner-Occupier,208500.0
7839,Y35,5,2010,New,Household Buyer - Non-Occupier,157171.0
8396,Y35,5,2010,Existing,All Buyer Types,216321.0
8397,Y35,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,289125.0
8398,Y35,5,2010,Existing,Household Buyer - Former Owner-Occupier,194313.0
8399,Y35,5,2010,Existing,Household Buyer - Non-Occupier,158750.0
8956,Y35,6,2010,All Dwelling Statuses,All Buyer Types,158233.0
8957,Y35,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,146667.0
8958,Y35,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,156714.0
8959,Y35,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,167300.0
9516,Y35,6,2010,New,All Buyer Types,151500.0
9517,Y35,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
9518,Y35,6,2010,New,Household Buyer - Former Owner-Occupier,
9519,Y35,6,2010,New,Household Buyer - Non-Occupier,151500.0
10076,Y35,6,2010,Existing,All Buyer Types,158714.0
10077,Y35,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,146667.0
10078,Y35,6,2010,Existing,Household Buyer - Former Owner-Occupier,156714.0
10079,Y35,6,2010,Existing,Household Buyer - Non-Occupier,171250.0
10636,Y35,7,2010,All Dwelling Statuses,All Buyer Types,187758.0
10637,Y35,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,165343.0
10638,Y35,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,162154.0
10639,Y35,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,248988.0
11196,Y35,7,2010,New,All Buyer Types,195846.0
11197,Y35,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,141875.0
11198,Y35,7,2010,New,Household Buyer - Former Owner-Occupier,175925.0
11199,Y35,7,2010,New,Household Buyer - Non-Occupier,238467.0
11756,Y35,7,2010,Existing,All Buyer Types,185648.0
11757,Y35,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,168954.0
11758,Y35,7,2010,Existing,Household Buyer - Former Owner-Occupier,159400.0
11759,Y35,7,2010,Existing,Household Buyer - Non-Occupier,255300.0
12316,Y35,8,2010,All Dwelling Statuses,All Buyer Types,192306.0
12317,Y35,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,199917.0
12318,Y35,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,212540.0
12319,Y35,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,157500.0
12876,Y35,8,2010,New,All Buyer Types,166821.0
12877,Y35,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,144793.0
12878,Y35,8,2010,New,Household Buyer - Former Owner-Occupier,127700.0
12879,Y35,8,2010,New,Household Buyer - Non-Occupier,250000.0
13436,Y35,8,2010,Existing,All Buyer Types,202500.0
13437,Y35,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,236667.0
13438,Y35,8,2010,Existing,Household Buyer - Former Owner-Occupier,233750.0
13439,Y35,8,2010,Existing,Household Buyer - Non-Occupier,126667.0
13996,Y35,9,2010,All Dwelling Statuses,All Buyer Types,155174.0
13997,Y35,9,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,134511.0
13998,Y35,9,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,172081.0
13999,Y35,9,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,173333.0
14556,Y35,9,2010,New,All Buyer Types,143714.0
14557,Y35,9,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,148278.0
14558,Y35,9,2010,New,Household Buyer - Former Owner-Occupier,134588.0
14559,Y35,9,2010,New,Household Buyer - Non-Occupier,
15116,Y35,9,2010,Existing,All Buyer Types,159472.0
15117,Y35,9,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,125333.0
15118,Y35,9,2010,Existing,Household Buyer - Former Owner-Occupier,182793.0
15119,Y35,9,2010,Existing,Household Buyer - Non-Occupier,173333.0
15676,Y35,10,2010,All Dwelling Statuses,All Buyer Types,171258.0
15677,Y35,10,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,153625.0
15678,Y35,10,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,227388.0
15679,Y35,10,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,126882.0
16236,Y35,10,2010,New,All Buyer Types,250012.0
16237,Y35,10,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
16238,Y35,10,2010,New,Household Buyer - Former Owner-Occupier,179330.0
16239,Y35,10,2010,New,Household Buyer - Non-Occupier,320694.0
16796,Y35,10,2010,Existing,All Buyer Types,160007.0
16797,Y35,10,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,153625.0
16798,Y35,10,2010,Existing,Household Buyer - Former Owner-Occupier,237000.0
16799,Y35,10,2010,Existing,Household Buyer - Non-Occupier,88120.0
17356,Y35,11,2010,All Dwelling Statuses,All Buyer Types,186507.0
17357,Y35,11,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,127674.0
17358,Y35,11,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,235936.0
17359,Y35,11,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,175500.0
17916,Y35,11,2010,New,All Buyer Types,161170.0
17917,Y35,11,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,123715.0
17918,Y35,11,2010,New,Household Buyer - Former Owner-Occupier,198625.0
17919,Y35,11,2010,New,Household Buyer - Non-Occupier,
18476,Y35,11,2010,Existing,All Buyer Types,189488.0
18477,Y35,11,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,128333.0
18478,Y35,11,2010,Existing,Household Buyer - Former Owner-Occupier,240600.0
18479,Y35,11,2010,Existing,Household Buyer - Non-Occupier,175500.0
19036,Y35,12,2010,All Dwelling Statuses,All Buyer Types,143788.0
19037,Y35,12,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,177333.0
19038,Y35,12,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,120880.0
19039,Y35,12,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,129333.0
19596,Y35,12,2010,New,All Buyer Types,143700.0
19597,Y35,12,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
19598,Y35,12,2010,New,Household Buyer - Former Owner-Occupier,143700.0
19599,Y35,12,2010,New,Household Buyer - Non-Occupier,
20156,Y35,12,2010,Existing,All Buyer Types,143800.0
20157,Y35,12,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,177333.0
20158,Y35,12,2010,Existing,Household Buyer - Former Owner-Occupier,105667.0
20159,Y35,12,2010,Existing,Household Buyer - Non-Occupier,129333.0
20716,Y35,1,2011,All Dwelling Statuses,All Buyer Types,157395.0
20717,Y35,1,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,132333.0
20718,Y35,1,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,157535.0
20719,Y35,1,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,194500.0
21276,Y35,1,2011,New,All Buyer Types,194085.0
21277,Y35,1,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
21278,Y35,1,2011,New,Household Buyer - Former Owner-Occupier,194085.0
21279,Y35,1,2011,New,Household Buyer - Non-Occupier,
21836,Y35,1,2011,Existing,All Buyer Types,150058.0
21837,Y35,1,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,132333.0
21838,Y35,1,2011,Existing,Household Buyer - Former Owner-Occupier,142915.0
21839,Y35,1,2011,Existing,Household Buyer - Non-Occupier,194500.0
22396,Y35,2,2011,All Dwelling Statuses,All Buyer Types,118000.0
22397,Y35,2,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
22398,Y35,2,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,135000.0
22399,Y35,2,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,92500.0
22956,Y35,2,2011,New,All Buyer Types,
22957,Y35,2,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
22958,Y35,2,2011,New,Household Buyer - Former Owner-Occupier,
22959,Y35,2,2011,New,Household Buyer - Non-Occupier,
23516,Y35,2,2011,Existing,All Buyer Types,118000.0
23517,Y35,2,2011,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
23518,Y35,2,2011,Existing,Household Buyer - Former Owner-Occupier,135000.0
23519,Y35,2,2011,Existing,Household Buyer - Non-Occupier,92500.0
24076,Y35,3,2011,All Dwelling Statuses,All Buyer Types,173346.0
24077,Y35,3,2011,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,149100.0
24078,Y35,3,2011,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,221833.0
24079,Y35,3,2011,All Dwelling Statuses,Household Buyer - Non-Occupier,88500.0
24636,Y35,3,2011,New,All Buyer Types,320000.0
24637,Y35,3,2011,New,Household Buyer - First-Time Buyer Owner-Occupier,
24638,Y35,3,2011,New,Household Buyer - Former Owner-Occupier,320000.0
