,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
20,A67,1,2010,All Dwelling Statuses,All Buyer Types,343425.0
21,A67,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,343425.0
22,A67,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
23,A67,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
580,A67,1,2010,New,All Buyer Types,351850.0
581,A67,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,351850.0
582,A67,1,2010,New,Household Buyer - Former Owner-Occupier,
583,A67,1,2010,New,Household Buyer - Non-Occupier,
1140,A67,1,2010,Existing,All Buyer Types,335000.0
1141,A67,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,335000.0
1142,A67,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1143,A67,1,2010,Existing,Household Buyer - Non-Occupier,
1700,A67,2,2010,All Dwelling Statuses,All Buyer Types,262803.0
1701,A67,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,273271.0
1702,A67,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,200000.0
1703,A67,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
2260,A67,2,2010,New,All Buyer Types,278031.0
2261,A67,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,278031.0
2262,A67,2,2010,New,Household Buyer - Former Owner-Occupier,
2263,A67,2,2010,New,Household Buyer - Non-Occupier,
2820,A67,2,2010,Existing,All Buyer Types,242500.0
2821,A67,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,263750.0
2822,A67,2,2010,Existing,Household Buyer - Former Owner-Occupier,200000.0
2823,A67,2,2010,Existing,Household Buyer - Non-Occupier,
3380,A67,3,2010,All Dwelling Statuses,All Buyer Types,223150.0
3381,A67,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,223150.0
3382,A67,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
3383,A67,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
3940,A67,3,2010,New,All Buyer Types,204300.0
3941,A67,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,204300.0
3942,A67,3,2010,New,Household Buyer - Former Owner-Occupier,
3943,A67,3,2010,New,Household Buyer - Non-Occupier,
4500,A67,3,2010,Existing,All Buyer Types,242000.0
4501,A67,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,242000.0
