Routing Key,City,Month,Year,Dwelling Status,Type of Buyer,VALUE
X91,Waterford,1,2010,All Dwelling Statuses,All Buyer Types,206193.0
X91,Waterford,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,197743.0
X91,Waterford,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,224692.0
X91,Waterford,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,175250.0
X91,Waterford,1,2010,New,All Buyer Types,257467.0
X91,Waterford,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,251970.0
X91,Waterford,1,2010,New,Household Buyer - Former Owner-Occupier,300448.0
X91,Waterford,1,2010,New,Household Buyer - Non-Occupier,182499.0
X91,Waterford,1,2010,Existing,All Buyer Types,184829.0
X91,Waterford,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,179667.0
X91,Waterford,1,2010,Existing,Household Buyer - Former Owner-Occupier,194390.0
X91,Waterford,1,2010,Existing,Household Buyer - Non-Occupier,168000.0
X91,Waterford,2,2010,All Dwelling Statuses,All Buyer Types,225925.0
X91,Waterford,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,172022.0
X91,Waterford,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,369667.0
X91,Waterford,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
X91,Waterford,2,2010,New,All Buyer Types,259726.0
X91,Waterford,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,259726.0
X91,Waterford,2,2010,New,Household Buyer - Former Owner-Occupier,
X91,Waterford,2,2010,New,Household Buyer - Non-Occupier,
X91,Waterford,2,2010,Existing,All Buyer Types,213250.0
X91,Waterford,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,119400.0
X91,Waterford,2,2010,Existing,Household Buyer - Former Owner-Occupier,369667.0
X91,Waterford,2,2010,Existing,Household Buyer - Non-Occupier,
X91,Waterford,3,2010,All Dwelling Statuses,All Buyer Types,206302.0
X91,Waterford,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,187595.0
X91,Waterford,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,273200.0
X91,Waterford,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,117400.0
X91,Waterford,3,2010,New,All Buyer Types,191829.0
X91,Waterford,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,184786.0
X91,Waterford,3,2010,New,Household Buyer - Former Owner-Occupier,220000.0
X91,Waterford,3,2010,New,Household Buyer - Non-Occupier,
X91,Waterford,3,2010,Existing,All Buyer Types,209591.0
X91,Waterford,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,189000.0
X91,Waterford,3,2010,Existing,Household Buyer - Former Owner-Occupier,279111.0
X91,Waterford,3,2010,Existing,Household Buyer - Non-Occupier,117400.0
X91,Waterford,4,2010,All Dwelling Statuses,All Buyer Types,215840.0
X91,Waterford,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,196030.0
X91,Waterford,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,257788.0
X91,Waterford,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,87667.0
X91,Waterford,4,2010,New,All Buyer Types,262377.0
