Routing Key,City,Month,Year,Dwelling Status,Type of Buyer,VALUE
Y34,New Ross,1,2010,All Dwelling Statuses,All Buyer Types,245000.0
Y34,New Ross,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
Y34,New Ross,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,245000.0
Y34,New Ross,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
Y34,New Ross,1,2010,New,All Buyer Types,
Y34,New Ross,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
Y34,New Ross,1,2010,New,Household Buyer - Former Owner-Occupier,
Y34,New Ross,1,2010,New,Household Buyer - Non-Occupier,
Y34,New Ross,1,2010,Existing,All Buyer Types,245000.0
Y34,New Ross,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
Y34,New Ross,1,2010,Existing,Household Buyer - Former Owner-Occupier,245000.0
Y34,New Ross,1,2010,Existing,Household Buyer - Non-Occupier,
Y34,New Ross,2,2010,All Dwelling Statuses,All Buyer Types,135000.0
Y34,New Ross,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
Y34,New Ross,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
Y34,New Ross,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,135000.0
Y34,New Ross,2,2010,New,All Buyer Types,
Y34,New Ross,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
Y34,New Ross,2,2010,New,Household Buyer - Former Owner-Occupier,
Y34,New Ross,2,2010,New,Household Buyer - Non-Occupier,
Y34,New Ross,2,2010,Existing,All Buyer Types,135000.0
Y34,New Ross,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
Y34,New Ross,2,2010,Existing,Household Buyer - Former Owner-Occupier,
Y34,New Ross,2,2010,Existing,Household Buyer - Non-Occupier,135000.0
Y34,New Ross,3,2010,All Dwelling Statuses,All Buyer Types,244966.0
Y34,New Ross,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,180000.0
Y34,New Ross,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,223574.0
Y34,New Ross,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,395500.0
Y34,New Ross,3,2010,New,All Buyer Types,246295.0
Y34,New Ross,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
Y34,New Ross,3,2010,New,Household Buyer - Former Owner-Occupier,246295.0
Y34,New Ross,3,2010,New,Household Buyer - Non-Occupier,
Y34,New Ross,3,2010,Existing,All Buyer Types,244700.0
Y34,New Ross,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,180000.0
Y34,New Ross,3,2010,Existing,Household Buyer - Former Owner-Occupier,216000.0
Y34,New Ross,3,2010,Existing,Household Buyer - Non-Occupier,395500.0
Y34,New Ross,4,2010,All Dwelling Statuses,All Buyer Types,137000.0
Y34,New Ross,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
Y34,New Ross,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,137000.0
Y34,New Ross,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
Y34,New Ross,4,2010,New,All Buyer Types,
Y34,New Ross,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
Y34,New Ross,4,2010,New,Household Buyer - Former Owner-Occupier,
Y34,New Ross,4,2010,New,Household Buyer - Non-Occupier,
Y34,New Ross,4,2010,Existing,All Buyer Types,137000.0
Y34,New Ross,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
Y34,New Ross,4,2010,Existing,Household Buyer - Former Owner-Occupier,137000.0
Y34,New Ross,4,2010,Existing,Household Buyer - Non-Occupier,
Y34,New Ross,5,2010,All Dwelling Statuses,All Buyer Types,146600.0
Y34,New Ross,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,229999.0
Y34,New Ross,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,159333.0
Y34,New Ross,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,25000.0
Y34,New Ross,5,2010,New,All Buyer Types,229999.0
Y34,New Ross,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,229999.0
Y34,New Ross,5,2010,New,Household Buyer - Former Owner-Occupier,
Y34,New Ross,5,2010,New,Household Buyer - Non-Occupier,
Y34,New Ross,5,2010,Existing,All Buyer Types,125750.0
Y34,New Ross,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
Y34,New Ross,5,2010,Existing,Household Buyer - Former Owner-Occupier,159333.0
Y34,New Ross,5,2010,Existing,Household Buyer - Non-Occupier,25000.0
Y34,New Ross,6,2010,All Dwelling Statuses,All Buyer Types,183036.0
Y34,New Ross,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,200000.0
Y34,New Ross,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,83125.0
Y34,New Ross,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,315000.0
Y34,New Ross,6,2010,New,All Buyer Types,300000.0
Y34,New Ross,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,300000.0
Y34,New Ross,6,2010,New,Household Buyer - Former Owner-Occupier,
Y34,New Ross,6,2010,New,Household Buyer - Non-Occupier,
