,Eircode,Month,Year,Dwelling Status,Type of Buyer,VALUE
368,P36,1,2010,All Dwelling Statuses,All Buyer Types,135000.0
369,P36,1,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,135000.0
370,P36,1,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,
371,P36,1,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
928,P36,1,2010,New,All Buyer Types,
929,P36,1,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
930,P36,1,2010,New,Household Buyer - Former Owner-Occupier,
931,P36,1,2010,New,Household Buyer - Non-Occupier,
1488,P36,1,2010,Existing,All Buyer Types,135000.0
1489,P36,1,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,135000.0
1490,P36,1,2010,Existing,Household Buyer - Former Owner-Occupier,
1491,P36,1,2010,Existing,Household Buyer - Non-Occupier,
2048,P36,2,2010,All Dwelling Statuses,All Buyer Types,315978.0
2049,P36,2,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,
2050,P36,2,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,309456.0
2051,P36,2,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,322500.0
2608,P36,2,2010,New,All Buyer Types,323912.0
2609,P36,2,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
2610,P36,2,2010,New,Household Buyer - Former Owner-Occupier,323912.0
2611,P36,2,2010,New,Household Buyer - Non-Occupier,
3168,P36,2,2010,Existing,All Buyer Types,313333.0
3169,P36,2,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,
3170,P36,2,2010,Existing,Household Buyer - Former Owner-Occupier,295000.0
3171,P36,2,2010,Existing,Household Buyer - Non-Occupier,322500.0
3728,P36,3,2010,All Dwelling Statuses,All Buyer Types,131167.0
3729,P36,3,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,132500.0
3730,P36,3,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,128500.0
3731,P36,3,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
4288,P36,3,2010,New,All Buyer Types,
4289,P36,3,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,
4290,P36,3,2010,New,Household Buyer - Former Owner-Occupier,
4291,P36,3,2010,New,Household Buyer - Non-Occupier,
4848,P36,3,2010,Existing,All Buyer Types,131167.0
4849,P36,3,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,132500.0
4850,P36,3,2010,Existing,Household Buyer - Former Owner-Occupier,128500.0
4851,P36,3,2010,Existing,Household Buyer - Non-Occupier,
5408,P36,4,2010,All Dwelling Statuses,All Buyer Types,149100.0
5409,P36,4,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,161500.0
5410,P36,4,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,183500.0
5411,P36,4,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,119500.0
5968,P36,4,2010,New,All Buyer Types,188000.0
5969,P36,4,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,188000.0
5970,P36,4,2010,New,Household Buyer - Former Owner-Occupier,
5971,P36,4,2010,New,Household Buyer - Non-Occupier,
6528,P36,4,2010,Existing,All Buyer Types,139375.0
6529,P36,4,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,135000.0
6530,P36,4,2010,Existing,Household Buyer - Former Owner-Occupier,183500.0
6531,P36,4,2010,Existing,Household Buyer - Non-Occupier,119500.0
7088,P36,5,2010,All Dwelling Statuses,All Buyer Types,192325.0
7089,P36,5,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,181433.0
7090,P36,5,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,225000.0
7091,P36,5,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
7648,P36,5,2010,New,All Buyer Types,197150.0
7649,P36,5,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,197150.0
7650,P36,5,2010,New,Household Buyer - Former Owner-Occupier,
7651,P36,5,2010,New,Household Buyer - Non-Occupier,
8208,P36,5,2010,Existing,All Buyer Types,187500.0
8209,P36,5,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,150000.0
8210,P36,5,2010,Existing,Household Buyer - Former Owner-Occupier,225000.0
8211,P36,5,2010,Existing,Household Buyer - Non-Occupier,
8768,P36,6,2010,All Dwelling Statuses,All Buyer Types,200001.0
8769,P36,6,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,188835.0
8770,P36,6,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,324999.0
8771,P36,6,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,180667.0
9328,P36,6,2010,New,All Buyer Types,218752.0
9329,P36,6,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,182628.0
9330,P36,6,2010,New,Household Buyer - Former Owner-Occupier,324999.0
9331,P36,6,2010,New,Household Buyer - Non-Occupier,257000.0
9888,P36,6,2010,Existing,All Buyer Types,171875.0
9889,P36,6,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,201250.0
9890,P36,6,2010,Existing,Household Buyer - Former Owner-Occupier,
9891,P36,6,2010,Existing,Household Buyer - Non-Occupier,142500.0
10448,P36,7,2010,All Dwelling Statuses,All Buyer Types,197708.0
10449,P36,7,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,158733.0
10450,P36,7,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,252250.0
10451,P36,7,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,283500.0
11008,P36,7,2010,New,All Buyer Types,167888.0
11009,P36,7,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,167888.0
11010,P36,7,2010,New,Household Buyer - Former Owner-Occupier,
11011,P36,7,2010,New,Household Buyer - Non-Occupier,
11568,P36,7,2010,Existing,All Buyer Types,215600.0
11569,P36,7,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,145000.0
11570,P36,7,2010,Existing,Household Buyer - Former Owner-Occupier,252250.0
11571,P36,7,2010,Existing,Household Buyer - Non-Occupier,283500.0
12128,P36,8,2010,All Dwelling Statuses,All Buyer Types,121774.0
12129,P36,8,2010,All Dwelling Statuses,Household Buyer - First-Time Buyer Owner-Occupier,158957.0
12130,P36,8,2010,All Dwelling Statuses,Household Buyer - Former Owner-Occupier,66000.0
12131,P36,8,2010,All Dwelling Statuses,Household Buyer - Non-Occupier,
12688,P36,8,2010,New,All Buyer Types,240620.0
12689,P36,8,2010,New,Household Buyer - First-Time Buyer Owner-Occupier,240620.0
12690,P36,8,2010,New,Household Buyer - Former Owner-Occupier,
12691,P36,8,2010,New,Household Buyer - Non-Occupier,
13248,P36,8,2010,Existing,All Buyer Types,92063.0
13249,P36,8,2010,Existing,Household Buyer - First-Time Buyer Owner-Occupier,118125.0
13250,P36,8,2010,Existing,Household Buyer - Former Owner-Occupier,66000.0
13251,P36,8,2010,Existing,Household Buyer - Non-Occupier,
