,STATISTIC Label,Year,Component,UNIT,VALUE
4,Annual Population Change,1951,Emigrants,Thousand,
12,Annual Population Change,1952,Emigrants,Thousand,
20,Annual Population Change,1953,Emigrants,Thousand,
28,Annual Population Change,1954,Emigrants,Thousand,
36,Annual Population Change,1955,Emigrants,Thousand,
44,Annual Population Change,1956,Emigrants,Thousand,
52,Annual Population Change,1957,Emigrants,Thousand,
60,Annual Population Change,1958,Emigrants,Thousand,
68,Annual Population Change,1959,Emigrants,Thousand,
76,Annual Population Change,1960,Emigrants,Thousand,
84,Annual Population Change,1961,Emigrants,Thousand,
92,Annual Population Change,1962,Emigrants,Thousand,
100,Annual Population Change,1963,Emigrants,Thousand,
108,Annual Population Change,1964,Emigrants,Thousand,
116,Annual Population Change,1965,Emigrants,Thousand,
124,Annual Population Change,1966,Emigrants,Thousand,
132,Annual Population Change,1967,Emigrants,Thousand,
140,Annual Population Change,1968,Emigrants,Thousand,
148,Annual Population Change,1969,Emigrants,Thousand,
156,Annual Population Change,1970,Emigrants,Thousand,
164,Annual Population Change,1971,Emigrants,Thousand,
172,Annual Population Change,1972,Emigrants,Thousand,
180,Annual Population Change,1973,Emigrants,Thousand,
188,Annual Population Change,1974,Emigrants,Thousand,
196,Annual Population Change,1975,Emigrants,Thousand,
204,Annual Population Change,1976,Emigrants,Thousand,
212,Annual Population Change,1977,Emigrants,Thousand,
220,Annual Population Change,1978,Emigrants,Thousand,
228,Annual Population Change,1979,Emigrants,Thousand,
236,Annual Population Change,1980,Emigrants,Thousand,
244,Annual Population Change,1981,Emigrants,Thousand,
252,Annual Population Change,1982,Emigrants,Thousand,
260,Annual Population Change,1983,Emigrants,Thousand,
268,Annual Population Change,1984,Emigrants,Thousand,
276,Annual Population Change,1985,Emigrants,Thousand,
284,Annual Population Change,1986,Emigrants,Thousand,
292,Annual Population Change,1987,Emigrants,Thousand,40.2
300,Annual Population Change,1988,Emigrants,Thousand,61.1
308,Annual Population Change,1989,Emigrants,Thousand,70.6
316,Annual Population Change,1990,Emigrants,Thousand,56.3
324,Annual Population Change,1991,Emigrants,Thousand,35.3
332,Annual Population Change,1992,Emigrants,Thousand,33.4
340,Annual Population Change,1993,Emigrants,Thousand,35.1
348,Annual Population Change,1994,Emigrants,Thousand,34.8
356,Annual Population Change,1995,Emigrants,Thousand,33.1
364,Annual Population Change,1996,Emigrants,Thousand,31.2
372,Annual Population Change,1997,Emigrants,Thousand,25.3
380,Annual Population Change,1998,Emigrants,Thousand,28.6
388,Annual Population Change,1999,Emigrants,Thousand,31.5
396,Annual Population Change,2000,Emigrants,Thousand,26.6
404,Annual Population Change,2001,Emigrants,Thousand,26.2
412,Annual Population Change,2002,Emigrants,Thousand,25.6
420,Annual Population Change,2003,Emigrants,Thousand,29.3
428,Annual Population Change,2004,Emigrants,Thousand,26.5
436,Annual Population Change,2005,Emigrants,Thousand,29.4
444,Annual Population Change,2006,Emigrants,Thousand,36.0
452,Annual Population Change,2007,Emigrants,Thousand,46.3
460,Annual Population Change,2008,Emigrants,Thousand,49.2
468,Annual Population Change,2009,Emigrants,Thousand,72.0
476,Annual Population Change,2010,Emigrants,Thousand,69.2
484,Annual Population Change,2011,Emigrants,Thousand,80.6
492,Annual Population Change,2012,Emigrants,Thousand,83.0
500,Annual Population Change,2013,Emigrants,Thousand,81.3
508,Annual Population Change,2014,Emigrants,Thousand,75.0
516,Annual Population Change,2015,Emigrants,Thousand,70.0
524,Annual Population Change,2016,Emigrants,Thousand,66.2
532,Annual Population Change,2017,Emigrants,Thousand,56.1
540,Annual Population Change,2018,Emigrants,Thousand,51.6
548,Annual Population Change,2019,Emigrants,Thousand,53.1
556,Annual Population Change,2020,Emigrants,Thousand,50.9
564,Annual Population Change,2021,Emigrants,Thousand,52.3
572,Annual Population Change,2022,Emigrants,Thousand,56.1
580,Annual Population Change,2023,Emigrants,Thousand,64.0
588,Annual Population Change,2024,Emigrants,Thousand,69.9
