,STATISTIC Label,Year,Component,UNIT,VALUE
3,Annual Population Change,1951,Immigrants,Thousand,
11,Annual Population Change,1952,Immigrants,Thousand,
19,Annual Population Change,1953,Immigrants,Thousand,
27,Annual Population Change,1954,Immigrants,Thousand,
35,Annual Population Change,1955,Immigrants,Thousand,
43,Annual Population Change,1956,Immigrants,Thousand,
51,Annual Population Change,1957,Immigrants,Thousand,
59,Annual Population Change,1958,Immigrants,Thousand,
67,Annual Population Change,1959,Immigrants,Thousand,
75,Annual Population Change,1960,Immigrants,Thousand,
83,Annual Population Change,1961,Immigrants,Thousand,
91,Annual Population Change,1962,Immigrants,Thousand,
99,Annual Population Change,1963,Immigrants,Thousand,
107,Annual Population Change,1964,Immigrants,Thousand,
115,Annual Population Change,1965,Immigrants,Thousand,
123,Annual Population Change,1966,Immigrants,Thousand,
131,Annual Population Change,1967,Immigrants,Thousand,
139,Annual Population Change,1968,Immigrants,Thousand,
147,Annual Population Change,1969,Immigrants,Thousand,
155,Annual Population Change,1970,Immigrants,Thousand,
163,Annual Population Change,1971,Immigrants,Thousand,
171,Annual Population Change,1972,Immigrants,Thousand,
179,Annual Population Change,1973,Immigrants,Thousand,
187,Annual Population Change,1974,Immigrants,Thousand,
195,Annual Population Change,1975,Immigrants,Thousand,
203,Annual Population Change,1976,Immigrants,Thousand,
211,Annual Population Change,1977,Immigrants,Thousand,
219,Annual Population Change,1978,Immigrants,Thousand,
227,Annual Population Change,1979,Immigrants,Thousand,
235,Annual Population Change,1980,Immigrants,Thousand,
243,Annual Population Change,1981,Immigrants,Thousand,
251,Annual Population Change,1982,Immigrants,Thousand,
259,Annual Population Change,1983,Immigrants,Thousand,
267,Annual Population Change,1984,Immigrants,Thousand,
275,Annual Population Change,1985,Immigrants,Thousand,
283,Annual Population Change,1986,Immigrants,Thousand,
291,Annual Population Change,1987,Immigrants,Thousand,17.2
299,Annual Population Change,1988,Immigrants,Thousand,19.2
307,Annual Population Change,1989,Immigrants,Thousand,26.7
315,Annual Population Change,1990,Immigrants,Thousand,33.3
323,Annual Population Change,1991,Immigrants,Thousand,33.3
331,Annual Population Change,1992,Immigrants,Thousand,40.7
339,Annual Population Change,1993,Immigrants,Thousand,34.7
347,Annual Population Change,1994,Immigrants,Thousand,30.1
355,Annual Population Change,1995,Immigrants,Thousand,31.2
363,Annual Population Change,1996,Immigrants,Thousand,39.2
371,Annual Population Change,1997,Immigrants,Thousand,44.5
379,Annual Population Change,1998,Immigrants,Thousand,46.0
387,Annual Population Change,1999,Immigrants,Thousand,48.9
395,Annual Population Change,2000,Immigrants,Thousand,52.6
403,Annual Population Change,2001,Immigrants,Thousand,59.0
411,Annual Population Change,2002,Immigrants,Thousand,66.9
419,Annual Population Change,2003,Immigrants,Thousand,60.0
427,Annual Population Change,2004,Immigrants,Thousand,58.5
435,Annual Population Change,2005,Immigrants,Thousand,84.6
443,Annual Population Change,2006,Immigrants,Thousand,107.8
451,Annual Population Change,2007,Immigrants,Thousand,151.1
459,Annual Population Change,2008,Immigrants,Thousand,113.5
467,Annual Population Change,2009,Immigrants,Thousand,73.7
475,Annual Population Change,2010,Immigrants,Thousand,41.8
483,Annual Population Change,2011,Immigrants,Thousand,53.3
491,Annual Population Change,2012,Immigrants,Thousand,57.3
499,Annual Population Change,2013,Immigrants,Thousand,62.7
507,Annual Population Change,2014,Immigrants,Thousand,66.5
515,Annual Population Change,2015,Immigrants,Thousand,75.9
523,Annual Population Change,2016,Immigrants,Thousand,82.3
531,Annual Population Change,2017,Immigrants,Thousand,95.3
539,Annual Population Change,2018,Immigrants,Thousand,96.0
547,Annual Population Change,2019,Immigrants,Thousand,97.1
555,Annual Population Change,2020,Immigrants,Thousand,95.6
563,Annual Population Change,2021,Immigrants,Thousand,74.1
571,Annual Population Change,2022,Immigrants,Thousand,107.8
579,Annual Population Change,2023,Immigrants,Thousand,141.6
587,Annual Population Change,2024,Immigrants,Thousand,149.2
